Minute,Timestamp,Best_Objective,Best_Run,Run1_Steps,Run1_Objective,Run1_Status,Run2_Steps,Run2_Objective,Run2_Status,Run3_Steps,Run3_Objective,Run3_Status,Run4_Steps,Run4_Objective,Run4_Status,Run5_Steps,Run5_Objective,Run5_Status
0,2025-09-30 21:17:59,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
0,2025-09-30 21:18:10,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
0,2025-09-30 21:18:21,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
0,2025-09-30 21:18:30,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
0,2025-09-30 21:18:41,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
1,2025-09-30 21:18:52,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
1,2025-09-30 21:19:02,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
1,2025-09-30 21:19:12,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
1,2025-09-30 21:19:23,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
1,2025-09-30 21:19:33,-1.915208,1,1,-1.915208,RUNNING,3,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING,2,-1.915208,RUNNING
